?character	?state	?description 
<http://purl.org/phenoscape/uuid/01c7f578-aabf-432e-85bf-e2ceb812bd85>	<http://purl.org/phenoscape/uuid/1aa8b19e-9a2e-415b-9e84-ea1b15dc6084>	Pelvic-fin position: pelvic fins posterior, in line with pleural rib of vertebra  eight or higher
<http://purl.org/phenoscape/uuid/1bce7def-fd0e-4f7d-8d23-d007cdbfc97f>	<http://purl.org/phenoscape/uuid/1b089674-c50c-4b4a-9ee7-e8ba65b102e3>	Pectoral fin: elongate with i,10* (9), i,11 (15), i,12 (22), i,13 (2), or i,14 (2) rays
<http://purl.org/phenoscape/uuid/dddea8e3-71c9-4c1a-b8c0-7e353dd4e020>	<http://purl.org/phenoscape/uuid/1d2e84fe-aaf9-431a-90f4-e2e1e70f0077>	Basal plates in dorsal fin supports: present
<http://purl.org/phenoscape/uuid/92a50b5a-f957-4033-84cc-a04102cd10f3>	<http://purl.org/phenoscape/uuid/1da367fb-df42-4d26-a1c0-279e72b4ad91>	Pelvic / ventral paired fins: present
<http://purl.org/phenoscape/uuid/e7db5722-0e96-4a6e-a7a3-b7f39b4a1d0e>	<http://purl.org/phenoscape/uuid/1e21286a-7c32-4748-be12-bf02b5d6a441>	Pelvic fin: Absent
<http://purl.org/phenoscape/uuid/023c5011-f4c6-4fdb-b30f-34f615463e41>	<http://purl.org/phenoscape/uuid/1fe7ccd5-75f2-45b7-bfc0-fc0d46310779>	Stegural: present
<http://purl.org/phenoscape/uuid/7d48e218-cd30-480c-96c4-4cddcb9941c6>	<http://purl.org/phenoscape/uuid/25c2a608-c4bf-4a51-84e8-e3ca33f82433>	(J24.) Basipterygium spans entire pelvic fin: basipterygium spans entire pelvic fin
<http://purl.org/phenoscape/uuid/64231137-773c-4893-b68d-f3c046447292>	<http://purl.org/phenoscape/uuid/26f02623-ace3-491a-bd90-9a27953deb82>	Anterolateral processes of the medial (lower) surfaces of the pelvic-fin rays: present as broad flanges from ray bases
<http://purl.org/phenoscape/uuid/b7f58a6c-5384-4ca6-90b7-1f475e9bfe33>	<http://purl.org/phenoscape/uuid/2c0534b0-a573-4605-8d12-bc7b5d3c8ca7>	Panderichthys evidently was a ‘front-wheel drive’ animal that was incapable of tetrapod-like, hindlimb-propelled locomotion: the pelvic fin is much smaller than the pectoral fin; the pelvic girdle is not weight-bearing; the acetabulum is posteriorly oriented, rendering the tetrapod power-stroke impossible; and knee and elbow flexion would have been very limited.: 
<http://purl.org/phenoscape/uuid/9b1bc31e-6920-48d4-a3d4-e2195c0ec806>	<http://purl.org/phenoscape/uuid/2c0edfa9-14fe-4b37-93fc-7a1340bb3086>	Basal scutes: present
<http://purl.org/phenoscape/uuid/c412adba-3aef-42ce-942a-57c89d4ea9e9>	<http://purl.org/phenoscape/uuid/2edcd9c1-1367-4bb4-8d8c-423d033e4324>	Neural arch of pre ural centrum 2 with posterior process: present
<http://purl.org/phenoscape/uuid/64462a05-07d6-4ee8-b15d-30468ec8b5b7>	<http://purl.org/phenoscape/uuid/2f6cb042-873c-410a-bf35-9ea343e071b2>	Fifth hypural: states 0 and 1
<http://purl.org/phenoscape/uuid/fd935ce8-7639-48e0-84bc-7f896ba4b062>	<http://purl.org/phenoscape/uuid/32123ce4-d9c5-4dbb-b245-1f853173ee01>	Spinelet erector muscle canals: spinelet erector muscles pass through bony canals formed by lateral expansions of the middle nuchal plate and dorsal fin pterygiophore
<http://purl.org/phenoscape/uuid/d51c2b22-f4e7-4520-82cf-fa2bf34c959b>	<http://purl.org/phenoscape/uuid/336f5550-ade4-4b83-b853-07a5ac4d09f9>	Pelvic girdle and fin: no pelvic girdles or fins
<http://purl.org/phenoscape/uuid/d0b05d2c-f680-417c-a04f-12f352e71473>	<http://purl.org/phenoscape/uuid/33a42d40-06da-4f21-8c8a-7fbb0ed8a77a>	Median Caudal Cartilages: Two CMCs, about equal in size
<http://purl.org/phenoscape/uuid/9f5d899d-8787-4dbf-91a6-71f7daf38bc5>	<http://purl.org/phenoscape/uuid/38dd9ebd-47cc-488f-ab2b-db755a390d90>	pelvic fin: present
<http://purl.org/phenoscape/uuid/bfbca67f-04c2-43b6-a098-dc4f5200fc38>	<http://purl.org/phenoscape/uuid/3c6179f4-15ca-45b4-8370-7217d06d2377>	Origin of dorsal fin: origin of dorsal behind pelvic insertion
<http://purl.org/phenoscape/uuid/d55cff5e-c4a6-401c-8b32-194ebf02fc09>	<http://purl.org/phenoscape/uuid/40120e94-953c-44a6-8cc6-07d15c398f8c>	Dorsal fin endoskeleton composition: composed of basal cartilage with a finspine
<http://purl.org/phenoscape/uuid/b8cefacb-f0a6-4bf6-b2f9-4344d7d763e9>	<http://purl.org/phenoscape/uuid/428354f1-4f51-4563-be8e-1b3f4b9fe777>	Pelvic fins: further distinguished from all other species of Pangio except P. fusca, P. apoda, P. pulla and P. lidi by the absence of pelvic fins
<http://purl.org/phenoscape/uuid/e5775455-8c65-46f3-a8a0-f4c2d6407b2e>	<http://purl.org/phenoscape/uuid/43551744-7279-4d2b-aa55-36a97d2c3d50>	pelvic fin: present
<http://purl.org/phenoscape/uuid/8132d13c-9ad8-4065-8377-2fca3d18cb23>	<http://purl.org/phenoscape/uuid/4453ba0e-7df4-44ba-b73a-27ebbace3865>	Pectoral fin length: >19.3%SL
<http://purl.org/phenoscape/uuid/e7db5722-0e96-4a6e-a7a3-b7f39b4a1d0e>	<http://purl.org/phenoscape/uuid/45935888-64c3-48e5-82d9-93f06a12aab2>	Pelvic fin: Present
<http://purl.org/phenoscape/uuid/c2ffaff1-324a-44b2-b87e-987c0469eec9>	<http://purl.org/phenoscape/uuid/48827034-7455-4955-bdc6-60fb6c973ed8>	Trifurcations in pectoral fin skeleton: no
<http://purl.org/phenoscape/uuid/b135d0e9-4cff-4947-b141-a58621d45031>	<http://purl.org/phenoscape/uuid/48fab78e-1d5e-4d44-a1fd-b640e1d91a6b>	Pectoral fin: triangular
<http://purl.org/phenoscape/uuid/e82066d0-0d04-4540-a66e-b0e2fc7f62c3>	<http://purl.org/phenoscape/uuid/49d48a5b-94e1-4c78-8da5-fa3f317da863>	Pelvic fins and girdle: present
<http://purl.org/phenoscape/uuid/35eee18b-9d4c-4e61-96e8-55b6206cdde8>	<http://purl.org/phenoscape/uuid/4a022c94-107a-4fb5-b0b3-70c9b628f31e>	Uroneural: one uroneural and one stegural
<http://purl.org/phenoscape/uuid/30a515c6-e9c8-435e-8a11-b8071763d7a2>	<http://purl.org/phenoscape/uuid/4a1a53b5-4188-4ce9-bb98-4b2557d57bc7>	pelvic fin: absent
<http://purl.org/phenoscape/uuid/f1fae588-8a57-4243-804e-f0643b1cc3db>	<http://purl.org/phenoscape/uuid/4bc577da-33d4-454d-b897-35307753de62>	Pelvic fin: Absent
<http://purl.org/phenoscape/uuid/39497664-6749-4908-9b3c-a78c16834ad1>	<http://purl.org/phenoscape/uuid/5072a80d-35d8-4059-a297-b02234e78ba1>	Basal scutes: present
<http://purl.org/phenoscape/uuid/46c96135-f571-42e1-a8b2-d7fbd6a72170>	<http://purl.org/phenoscape/uuid/508b9b13-5880-4b15-946e-7327c555e843>	Pelvic fins and girdle absent (Fink & Fink 1981): pelvic fins and girdle absent
<http://purl.org/phenoscape/uuid/04846146-9330-4dd9-ad47-00b75c14602a>	<http://purl.org/phenoscape/uuid/5f251c5c-75c4-4167-895c-875be880a35f>	Hypurals: parhypural, first and second fused, third-fifth fused
<http://purl.org/phenoscape/uuid/d55cff5e-c4a6-401c-8b32-194ebf02fc09>	<http://purl.org/phenoscape/uuid/57180dc0-ba1d-4b7d-838b-b379c11ec8b3>	Dorsal fin endoskeleton composition: with basal cartilage and no finspine
<http://purl.org/phenoscape/uuid/55910ac3-34fd-4d19-bdce-6dfc4f7dce8f>	<http://purl.org/phenoscape/uuid/58f3227b-ed11-4850-8eba-47faf628e3f4>	(S6.) Anterior dorsal fin-rays articulate directly with basal plate: absent
<http://purl.org/phenoscape/uuid/3d796edc-1ba7-401e-882e-8d87106ee6e7>	<http://purl.org/phenoscape/uuid/72e667be-46be-4ef8-9677-a75a5ba42714>	Stegural (sensu Rosen 1984): present
<http://purl.org/phenoscape/uuid/bf82130e-762a-490b-8598-6040a4be7333>	<http://purl.org/phenoscape/uuid/97cff75a-2c1b-49c2-b375-31cb8e1611a1>	Third preural centrum and hemal spine: autogenous
<http://purl.org/phenoscape/uuid/a0b25604-ede8-4762-977a-e471a978a06c>	<http://purl.org/phenoscape/uuid/a09e1192-e8e4-4fb9-9784-1a35befb8fe3>	The separation of radials from each other and from the ulnare can be seen by density differences in the scan (see Supplementary Information) but also through slight differences in the orientation of the elements.: 
<http://purl.org/phenoscape/uuid/a8d84bb4-ec99-40b0-b1f9-3de490072de0>	<http://purl.org/phenoscape/uuid/a18905e6-8160-442f-97f1-fc8df0f2b9a3>	(L1.) Pelvic and anal spines in all taxa; paired intermediate spines in most: present
<http://purl.org/phenoscape/uuid/20fc4f0b-7bd3-4e13-85e2-791ab66b9739>	<http://purl.org/phenoscape/uuid/a2a34164-83a0-4772-9c74-1ee87315449f>	Metapterygium connects with distinct series of  distal radials articulating proximodistally to form a short or long axis: present
<http://purl.org/phenoscape/uuid/c46812db-9955-49df-a114-73ade281810b>	<http://purl.org/phenoscape/uuid/a2cbaf48-3f53-43e9-b65f-f3db6ca02664>	Pectoral-fin ray: base of the dorsal hemitrich of the first pectoral-fin ray with serrated margin
<http://purl.org/phenoscape/uuid/eab856dc-d4f0-4ee0-b4bb-07409f9654ca>	<http://purl.org/phenoscape/uuid/a6aeb24f-d8f3-485a-8706-414e33807aad>	Pectoral-fin rays: present
<http://purl.org/phenoscape/uuid/8c5ef67d-1cb9-4a8c-b30b-b565f9c7fc6c>	<http://purl.org/phenoscape/uuid/aaae30c2-f499-4df3-8334-90d911d16fa6>	Proximal portions of principal caudal-fin rays: arched dorsaly
<http://purl.org/phenoscape/uuid/65f899a1-12e3-4614-9265-89101dfcaafb>	<http://purl.org/phenoscape/uuid/abd53087-bcb5-4988-ad32-b0cf2f2116f8>	pelvic-fin middle radial: present
<http://purl.org/phenoscape/uuid/7a669700-ce67-4e0d-b6d3-185c15c3e87f>	<http://purl.org/phenoscape/uuid/ac6ce51f-6ef6-41a4-bb29-56afede4ef53>	Pectoral-fin rays: present
<http://purl.org/phenoscape/uuid/3accbbbd-b52a-4348-b4f2-701f67f00dee>	<http://purl.org/phenoscape/uuid/ad8d3233-8efc-45fa-b820-d7d31e717fca>	Additionally, numerous processes and rugosities, particularly on the ventral surfaces on the ulna, ulnare and distal radials, are suggestive of the presence of an extensive musculotendinous apparatus to control these fin segments: 
<http://purl.org/phenoscape/uuid/830b7934-d348-4c76-b65d-f1c4f23bbd82>	<http://purl.org/phenoscape/uuid/b629423f-5186-4477-8d53-08170c88f65d>	Postdorsal pterygiophores: complete to uroneural
<http://purl.org/phenoscape/uuid/1ec56f0c-06d9-43e6-b925-20ea9a267aba>	<http://purl.org/phenoscape/uuid/b7624440-5243-483e-827b-681afed17a0d>	Long (1989:fig. 11a; Fig. 1A) was correct in his hypothesised reconstruction of the ulnare articulating distally with three elements. A similar condition is seen in Gooloogongia (Johanson and Ahlberg, 2001) and in the holotype of Sauripterus (AMNH 3341) (Davis et al., 2004). It is probable that the ulnare of the Lower Carboniferous rhizodontid Strepsodus also articulated with three distal radials (Jeffery, 2001: 
<http://purl.org/phenoscape/uuid/2e400668-1de0-4a4d-9514-92215c80e857>	<http://purl.org/phenoscape/uuid/b99467e1-30b2-48cd-bb27-9dd7ac7a495a>	Anal-fin rays: The proximal ends of the anal-fin rays of males have their lepidotrich bases extended anteriorly
<http://purl.org/phenoscape/uuid/5292a8d3-6672-4320-8b44-96b1ca62f6ed>	<http://purl.org/phenoscape/uuid/b9b07b09-5d68-4687-8065-457f34ab35a7>	The two most preaxial distal radials do not articulate directly with an axial element (Fig. 2): 
<http://purl.org/phenoscape/uuid/1ec56f0c-06d9-43e6-b925-20ea9a267aba>	<http://purl.org/phenoscape/uuid/be0b63d3-605e-452c-9cdb-0823b988467d>	Long (1989:fig. 11a; Fig. 1A) was correct in his hypothesised reconstruction of the ulnare articulating distally with three elements. A similar condition is seen in Gooloogongia (Johanson and Ahlberg, 2001) and in the holotype of Sauripterus (AMNH 3341) (Davis et al., 2004). It is probable that the ulnare of the Lower Carboniferous rhizodontid Strepsodus also articulated with three distal radials (Jeffery, 2001: 
<http://purl.org/phenoscape/uuid/fbf7aaa6-96e1-44a4-b282-f6f420b2a768>	<http://purl.org/phenoscape/uuid/bef4d5be-8649-4c0a-bb4c-46aee9c30b26>	It is waisted, flaring out distally to produce two articulation surfaces for distal radials.: 
<http://purl.org/phenoscape/uuid/ade19ebb-6401-48bf-ade0-331462ef70a9>	<http://purl.org/phenoscape/uuid/c286c83b-9ac7-4f4f-8aaa-dcda4892ca1e>	Dorsal and anal fin spines: present
<http://purl.org/phenoscape/uuid/df7c9eac-5b4c-47bb-ba1a-88367d5feb85>	<http://purl.org/phenoscape/uuid/c41e1f38-ace0-4bdf-a764-c198017454e1>	In Tiktaalik  like in ‘osteolepiforms and rhizodont ...The axis of the fin comprises two more elements distal to the ulnare, and the distal radials are arranged pinnately around this axis.is the last axial element, and the distal radials/digits are arranged in a transverse fan shape: Basal condition
<http://purl.org/phenoscape/uuid/32bd645e-4238-45f2-bbf1-2a1fe585749b>	<http://purl.org/phenoscape/uuid/c5ac65f7-1d18-4b46-8f06-2ba5d41d4492>	Hypural 1 and terminal centrum: fused
<http://purl.org/phenoscape/uuid/867f1df4-34a6-461a-b693-3f778cd21bfe>	<http://purl.org/phenoscape/uuid/cf9d351a-e7c1-4e52-a5ce-061dc32d67f9>	Second ural centrum: distinct
<http://purl.org/phenoscape/uuid/6ceb4be5-b829-43cd-a3a1-1ed8e23e6488>	<http://purl.org/phenoscape/uuid/d7d16a05-2263-48bc-b08a-606d1bb204a8>	Posterior margin of hypural 3: (0) equal to or narrower than posterior margin of hypural 4
<http://purl.org/phenoscape/uuid/d40aadbd-6b3b-443c-98a2-fee0bc0bea16>	<http://purl.org/phenoscape/uuid/d8393506-fb93-40e8-9ceb-8b44bf71f15f>	Pectoral-fin spines greatly elongated in males: yes
<http://purl.org/phenoscape/uuid/87f874b4-9aa9-410f-9eab-1b3aff723e6f>	<http://purl.org/phenoscape/uuid/d866753b-adc6-4e6b-b29c-024ac1f03a41>	All radials have flattened cross-sections of the same thickness but they vary in width.: 
<http://purl.org/phenoscape/uuid/64ea9943-03b5-42a9-ae7f-6d278eade081>	<http://purl.org/phenoscape/uuid/db7ddf51-09c7-4eba-ac46-864c7a3045cf>	Dorsal and pectoral fins: with spine
<http://purl.org/phenoscape/uuid/ea2795e4-6950-49bd-affa-0a66fae4f3e6>	<http://purl.org/phenoscape/uuid/db9536e6-cde9-4a3d-bfba-69b7abbfe784>	Relative length of proximal unsegmented part of lepidotrichium: much less than segmented part
<http://purl.org/phenoscape/uuid/ddc5c86e-23e1-43d7-989b-c610835aa3e5>	<http://purl.org/phenoscape/uuid/de18544c-615e-49df-91bc-a264a618eb71>	Form of procumbent dorsal-fin spine: anteriorly undivided
<http://purl.org/phenoscape/uuid/c3e1e8f8-7a11-4965-bf54-4d1ee5c2eecd>	<http://purl.org/phenoscape/uuid/e0c2ee0a-ec75-402b-a035-fd2c39ae3efb>	Urostyle and upper hypural plate: fused
<http://purl.org/phenoscape/uuid/b55c68fb-5f6c-4744-95e2-84d4ed1b005e>	<http://purl.org/phenoscape/uuid/ea5f8f4b-32ce-4f40-8f55-cc5e36520c3f>	Pelvic-fin rays: present
<http://purl.org/phenoscape/uuid/ef96d669-19ab-4786-9253-139b5921b65b>	<http://purl.org/phenoscape/uuid/eb538cd5-3302-4c7c-96a0-7239c5f96c25>	Pectoral-fin rays: present
<http://purl.org/phenoscape/uuid/db641325-6c72-418d-ac1d-3d00864ae116>	<http://purl.org/phenoscape/uuid/eede32e4-f4da-43b8-8a84-a1ce8ec81c2f>	Ventral prongs of the first dorsal-fin spine: the prongs are elongate, and reach the dorsal proximal radials ventrally
<http://purl.org/phenoscape/uuid/df7c9eac-5b4c-47bb-ba1a-88367d5feb85>	<http://purl.org/phenoscape/uuid/eef08953-72a8-4870-b0c7-fd9152654321>	In Tiktaalik  like in ‘osteolepiforms and rhizodont ...The axis of the fin comprises two more elements distal to the ulnare, and the distal radials are arranged pinnately around this axis.is the last axial element, and the distal radials/digits are arranged in a transverse fan shape: derived, tetrapod like
<http://purl.org/phenoscape/uuid/2ea817cb-a638-4564-bbea-5a433bb130df>	<http://purl.org/phenoscape/uuid/f756bae9-4bfa-4f1c-ad5c-c8915eda4fbd>	The dorsomedial region of the mesopterygoid onto which this ligament attaches is typically expanded into dorsomedial process: Four of the species of Curimatella (alburna, dorsalis, immaculata, and meyeri) retain this generalized condition of the mesopterygoid
<http://purl.org/phenoscape/uuid/2ea817cb-a638-4564-bbea-5a433bb130df>	<http://purl.org/phenoscape/uuid/fbddce4d-c5b9-4f59-b800-e0c124af7cf4>	The dorsomedial region of the mesopterygoid onto which this ligament attaches is typically expanded into dorsomedial process: Curimatella lepidura, although having a fully developed ligament, has the dorsomedial process on the mesopterygoid notably much less developed (Figure 3), a hypothesized autapomorphy for the species.
<http://purl.org/phenoscape/uuid/ebb036d4-eb7b-46c3-9bf8-c3ed2de65de3>	<http://purl.org/phenoscape/uuid/019ce7f0-13e8-4e6c-8846-1b3857478a46>	Second ural centrum: distinct
<http://purl.org/phenoscape/uuid/398cfaee-ffb5-4cda-b164-c748990dd730>	<http://purl.org/phenoscape/uuid/0437b979-f3ab-4654-b5a9-d6cef5cddbc8>	Pelvic-fin rays: present
<http://purl.org/phenoscape/uuid/f8c8b5f9-f44e-443a-abdc-a7a62bc5567a>	<http://purl.org/phenoscape/uuid/045375c2-6010-4273-82eb-82a5b235d723>	Fin ray (pectoral): present
<http://purl.org/phenoscape/uuid/9faeb780-17a8-4c82-bb20-b527c3b53402>	<http://purl.org/phenoscape/uuid/0586dd45-1ff4-4fd9-8ccd-83f9e4ae766b>	Articulation of the first radial with the scapula: fused to the scapula
<http://purl.org/phenoscape/uuid/4bd3fd8f-f5b8-4f3e-99b7-e282768a5b4d>	<http://purl.org/phenoscape/uuid/07126e54-f126-4b7b-bca8-fd2b7a76ca40>	Most of basal pterygiophores of dorsal and anal fins: expanded and plate-like
<http://purl.org/phenoscape/uuid/47b603b9-b02e-4af6-bf11-52d521abcbe3>	<http://purl.org/phenoscape/uuid/31a97e6a-cd32-4cbe-9f18-14ec6fff23c2>	Hypurals 1 and 2: not fused to each other, hypural 1 free, and hypural 2 fused to its centrum
<http://purl.org/phenoscape/uuid/cc125b3e-123a-4f0a-ba8d-5ff1d7ede3ad>	<http://purl.org/phenoscape/uuid/339f45e5-f68e-4032-8e71-5f7d10a34828>	Form of first proximal pterygiophores of anal fin: with distinct posterodorsal slope
<http://purl.org/phenoscape/uuid/aa6bf54a-820b-4c9f-bc50-092c5731f716>	<http://purl.org/phenoscape/uuid/345de2f1-ab98-4db4-a77d-8e7f64cbb363>	Relation between second preural centrum and its haemal spine: fused
<http://purl.org/phenoscape/uuid/06b722e5-b8cb-422d-8370-d91a3f2cfcb1>	<http://purl.org/phenoscape/uuid/34b4b1fc-2f15-4113-a468-83febfc37375>	Hypurals, degree of fusion (+ indicates fused together): hypurals 1 + 2 are fused together and to the centrum, and hypurals 3 + 4 are fused together and free from the centrum
<http://purl.org/phenoscape/uuid/5db08906-d776-4acf-a1cb-8b4dcc340d72>	<http://purl.org/phenoscape/uuid/3c66a6c1-6148-4401-9de3-57bc80931b2d>	Fusion of hypural plates: hypurals 3 and 4 fused and hypurals 1 and 2 fused
<http://purl.org/phenoscape/uuid/e6e8c52f-8af1-4145-b525-8b88a988e5a2>	<http://purl.org/phenoscape/uuid/4152e752-6eb2-493a-9156-7c86b11ac208>	Hypural 3: present
<http://purl.org/phenoscape/uuid/ddec6a16-8290-4284-b887-858459db765c>	<http://purl.org/phenoscape/uuid/4c970c07-00f9-45e2-a0b6-7943e8353eed>	Preural centrum 2: present
<http://purl.org/phenoscape/uuid/ffec83ff-131d-4129-a621-4b3e32817bc9>	<http://purl.org/phenoscape/uuid/53c82ca0-1edc-405a-871e-afe7b29ba593>	Fusion of hypural 2 to compound centrum: (1) present
<http://purl.org/phenoscape/uuid/21476d15-5a86-4ec3-aad6-3eb5b9323fb2>	<http://purl.org/phenoscape/uuid/5c135555-4c9d-42e8-b7d1-090a06fa67ce>	Hypural 2 fused with compound caudal centrum (See Fink & Fink 1981, 1996, for discussion of homoplasy in this character): Hypural 2 fused with compound caudal centrum
<http://purl.org/phenoscape/uuid/7f39a26e-93e6-4bdb-81fe-daf753cbd58a>	<http://purl.org/phenoscape/uuid/5f09f7d4-194a-4762-b2a6-6507aa348242>	Fusion of ural centra, preural centrum1, uroneural 1 and hypural 2: present
<http://purl.org/phenoscape/uuid/bb62d3b8-f62a-46ab-baad-7c7a584aae64>	<http://purl.org/phenoscape/uuid/ff86eb54-7cab-4e4f-8166-439ff4c7f2ef>	Hypural 2 and terminal, or corresponding centrum: fused
<http://purl.org/phenoscape/uuid/ef94b9ff-609e-485c-ae9d-4847cc2a8be9>	<http://purl.org/phenoscape/uuid/571880f2-350e-4ffa-b7b7-a3ff14a552db>	Hypurals: hypural fan consisting of six separate hypural elements
<http://purl.org/phenoscape/uuid/6ffb0a50-0969-4453-9fe1-9049b75f7ebd>	<http://purl.org/phenoscape/uuid/620ef70c-0d27-42c4-9d9e-adc056d40f47>	Terminal compound centrum: preural centrum 1, ural centrum 1, and ural centrum 2 separate
<http://purl.org/phenoscape/uuid/8199ff39-4dd7-4da2-a17a-9314d9dd8a5e>	<http://purl.org/phenoscape/uuid/650a2913-93d1-48b0-9315-3ed9aa996cd7>	Hypural 1-5: present
<http://purl.org/phenoscape/uuid/00f02c7c-eb34-4120-9aa2-1735d18498d5>	<http://purl.org/phenoscape/uuid/6d9c0233-80e0-4e72-b925-80f8ef363e3d>	preural centrum 3: present
<http://purl.org/phenoscape/uuid/b7fdc67b-9419-4adc-99be-0f886546c617>	<http://purl.org/phenoscape/uuid/76d52478-7a38-4165-a414-f1e9ec872807>	Hypurals: six
<http://purl.org/phenoscape/uuid/dd8e3ad9-c915-4529-9a61-c0b6552f50be>	<http://purl.org/phenoscape/uuid/7b671f15-9bf9-48b3-b167-804a53350e9d>	Third and fourth hypurals: fused
<http://purl.org/phenoscape/uuid/25837cf2-2dba-4618-956c-c8a73e67dee6>	<http://purl.org/phenoscape/uuid/7bbd541b-b4c1-4491-b4f6-61fd3c80ce64>	preural centrum 2: present
<http://purl.org/phenoscape/uuid/53067de3-698b-4107-bfe1-0b768189c13f>	<http://purl.org/phenoscape/uuid/7bfbfa69-4d37-4e73-a230-fe57f56deff8>	hypural 4: present
<http://purl.org/phenoscape/uuid/22b62a17-c772-4a68-beeb-78c4a9db7956>	<http://purl.org/phenoscape/uuid/86a9d9f9-4737-4626-9302-5a88702aaba5>	Hypural 1-6: present
<http://purl.org/phenoscape/uuid/b49ad58b-96ba-4362-bd3b-c09781b6d158>	<http://purl.org/phenoscape/uuid/86bc46d2-b479-4b5c-afe1-c23bd6c9e926>	hypural 2: present
<http://purl.org/phenoscape/uuid/428a2afe-5d4b-45c1-8a1f-4da33279b1a3>	<http://purl.org/phenoscape/uuid/87bc7969-4b13-4744-ad9d-105ac2eaaa17>	Upper and lower caudal plates: narrowly separated or space between them absent
<http://purl.org/phenoscape/uuid/42a6aef6-6234-44dd-9fc1-827691391892>	<http://purl.org/phenoscape/uuid/8af4ab43-9398-4a6a-8706-c05e4ce7b185>	hypural 1: present
<http://purl.org/phenoscape/uuid/46c42ba9-a3c6-4bb2-b506-1525f2d95208>	<http://purl.org/phenoscape/uuid/8be28b17-087d-45cc-b9c8-b4cf4a0f19bc>	Form of first proximal pterygiophores of anal fin: with distinct posterodorsal slope
<http://purl.org/phenoscape/uuid/47a4b63f-8737-4f28-baaa-bcf9578e961a>	<http://purl.org/phenoscape/uuid/8fa78bb4-0a33-4d89-953c-9c0400914648>	hypural 3: present
<http://purl.org/phenoscape/uuid/35e472f3-87fc-4a41-b8f7-1015b68f6682>	<http://purl.org/phenoscape/uuid/91ff8fe2-23db-4301-8493-ddb8f3613b60>	Hypural 1-5: present
<http://purl.org/phenoscape/uuid/840db35a-013f-4c8a-abd7-ccbe31217581>	<http://purl.org/phenoscape/uuid/975ff6e0-df9b-41bd-8c6f-8353285171a8>	Articulation of the anterior tip of hypural 1 and the parhypural: process on the anterior tip of the hypural wraps around the parhypural below the hypurapophysis
<http://purl.org/phenoscape/uuid/62358d86-a088-4012-b87a-204f3e802d65>	<http://purl.org/phenoscape/uuid/a0bb59f7-225f-481a-8bca-460a2fe02193>	Parhypural and hypural one: either adpressed to each other with a narrow joint line, or fused to each other
<http://purl.org/phenoscape/uuid/572899e6-d3cf-4e8a-90a1-8fc5712592f7>	<http://purl.org/phenoscape/uuid/a15ca7dc-feba-49b9-b317-f95b728ed95a>	Dorsal and pectoral fin spines present: Dorsal and pectoral fin spines present.
<http://purl.org/phenoscape/uuid/d53da64c-8869-4569-851f-a9680e8123b4>	<http://purl.org/phenoscape/uuid/a2201eb8-ac7a-42f7-aa3b-b418e13cbcc1>	Degree of contact between hypurals 2 and 3: separate
<http://purl.org/phenoscape/uuid/70222491-d593-413b-841c-944fce0f6e6f>	<http://purl.org/phenoscape/uuid/a597843b-5fdd-4eea-8efe-d92183f5b6a8>	Anal-fin distal radials: absences and reductions in the anal-fin skeleton
<http://purl.org/phenoscape/uuid/f2610364-c626-4f8a-a0fa-fc51afa63c85>	<http://purl.org/phenoscape/uuid/a597d35a-acee-44fd-ba4f-e406ecc2fe28>	Inter-hemal spine cartilage of preural centrum 3, 4: present
<http://purl.org/phenoscape/uuid/7c7d5883-ffd3-49f8-9fa4-131b128b14c5>	<http://purl.org/phenoscape/uuid/ad96f68b-d80f-4f4f-8f61-9982ca957b17>	First unbranched dorsal fin ray: Strongly ossified as spine
<http://purl.org/phenoscape/uuid/1a4420c3-464b-4def-87ed-5be6d406c802>	<http://purl.org/phenoscape/uuid/af01146a-4d1e-47f0-975b-25e43b9a9fc6>	Number of dorsal-fin rays (ORDERED, user-defined): no dorsal-fin rays
<http://purl.org/phenoscape/uuid/3ca255e4-5673-490e-9678-0d230e873f1f>	<http://purl.org/phenoscape/uuid/b1115c21-9e93-4c9d-bf14-adef1eb06ee9>	Anterior development of first uroneural: (0) reaching anterior half of urostyle
<http://purl.org/phenoscape/uuid/c1d1194f-d3c0-4a33-bdb7-8c8a35862ed1>	<http://purl.org/phenoscape/uuid/b64e838e-337e-4104-9395-6d7df361185d>	Third uroneural: absent
<http://purl.org/phenoscape/uuid/2c333955-69b2-47f6-96cf-aaffd696a9e4>	<http://purl.org/phenoscape/uuid/b807e3d5-f605-46ac-8683-dccbd6f86390>	Uroneural 1: present
<http://purl.org/phenoscape/uuid/05efea0b-bced-44d6-82fe-a7773ada955f>	<http://purl.org/phenoscape/uuid/b97d4532-37b0-4993-b5c1-10b232f91b11>	Paired row of denticles along lateral or trailing edge of median spines: absent
<http://purl.org/phenoscape/uuid/a0ea075d-e67b-4863-bbfc-2a3b62c7a429>	<http://purl.org/phenoscape/uuid/c07cd2ab-61ba-4e64-b963-dd9d596c65a7>	Fin spines with rows of large retrorse denticles: Present
<http://purl.org/phenoscape/uuid/197c0c41-6bb7-4e01-86d0-8faa7812f36a>	<http://purl.org/phenoscape/uuid/c19e9085-193a-4515-aaf9-16c12d31a777>	First uroneural: independent
